timestamp,carbon_intensity,low_emissions,renewable_emissions,total_production,total_emissions,nucleare_installed_capacity,nucleare_production,nucleare_emissions,geotermico_installed_capacity,geotermico_production,geotermico_emissions,biomassa_installed_capacity,biomassa_production,biomassa_emissions,carbone_installed_capacity,carbone_production,carbone_emissions,eolico_installed_capacity,eolico_production,eolico_emissions,fotovoltaico_installed_capacity,fotovoltaico_production,fotovoltaico_emissions,idroelettrico_installed_capacity,idroelettrico_production,idroelettrico_emissions,accumuloidro_installed_capacity,accumuloidro_production,accumuloidro_emissions,batterieaccu_installed_capacity,batterieaccu_production,batterieaccu_emissions,gas_installed_capacity,gas_production,gas_emissions,petrolio_installed_capacity,petrolio_production,petrolio_emissions,sconosciuto_installed_capacity,sconosciuto_production,sconosciuto_emissions,exchange_export,exchange_import,stato
19:00 20-04-2022,308,41,41,2260000,11600.0,0,0,0,0,0,0,72700,18080.0,68.44,0,0,0,1930000,543756.0,99.76,1490000,358888,269.12,152000,4068.0,1.16,580000,0.0,0.0,,0,0,4460000,1248424.0,10199.88,866000,65992.0,714.56,,21018.0,244.76, Meridione (Italia)_nan_-265776.0_1364.16@ Malta_200000.0_-150968.0_774.88@,,Sicilia (Italia)
19:10 20-04-2022,238,56,56,1800000,7130.0,0,0,0,0,0,0,72700,10980.0,42.07,0,0,0,1930000,722160.0,132.62,1490000,238320,178.96,152000,34020.0,13.55,580000,-4500.0,,,0,0,4460000,697320.0,5694.02,866000,76320.0,826.37,,20880.0,243.13, Meridione (Italia)_nan_-265860.0_1053.1@ Malta_200000.0_-151020.0_598.21@,,Sicilia (Italia)
19:20 20-04-2022,238,56,56,1800000,7130.0,0,0,0,0,0,0,72700,10980.0,42.07,0,0,0,1930000,722160.0,132.62,1490000,238320,178.96,152000,34020.0,13.55,580000,-4500.0,,,0,0,4460000,697320.0,5694.02,866000,76320.0,826.37,,20880.0,243.13, Meridione (Italia)_nan_-265860.0_1053.1@ Malta_200000.0_-151020.0_598.21@,,Sicilia (Italia)
19:30 20-04-2022,238,56,56,1800000,7130.0,0,0,0,0,0,0,72700,10980.0,42.07,0,0,0,1930000,722160.0,132.62,1490000,238320,178.96,152000,34020.0,13.55,580000,-4500.0,,,0,0,4460000,697320.0,5694.02,866000,76320.0,826.37,,20880.0,243.13, Meridione (Italia)_nan_-265860.0_1053.1@ Malta_200000.0_-151020.0_598.21@,,Sicilia (Italia)
19:40 20-04-2022,238,56,56,1800000,7130.0,0,0,0,0,0,0,72700,10980.0,42.07,0,0,0,1930000,722160.0,132.62,1490000,238320,178.96,152000,34020.0,13.55,580000,-4500.0,,,0,0,4460000,697320.0,5694.02,866000,76320.0,826.37,,20880.0,243.13, Meridione (Italia)_nan_-265860.0_1053.1@ Malta_200000.0_-151020.0_598.21@,,Sicilia (Italia)
19:50 20-04-2022,314,46,46,2290000,12000.0,0,0,0,0,0,0,72700,16946.0,64.8,0,0,0,1930000,596316.0,109.2,1490000,232435,174.0,152000,2977.0,1.2,580000,194421.0,1024.8,,0,0,4460000,1086376.0,8870.4,866000,138316.0,1497.6,,21984.0,256.8, Meridione (Italia)_nan_-37098.0_194.4@ Malta_200000.0_-197398.0_1034.4@,,Sicilia (Italia)
20:00 20-04-2022,314,46,46,2290000,12000.0,0,0,0,0,0,0,72700,16946.0,64.8,0,0,0,1930000,596316.0,109.2,1490000,232435,174.0,152000,2977.0,1.2,580000,194421.0,1024.8,,0,0,4460000,1086376.0,8870.4,866000,138316.0,1497.6,,21984.0,256.8, Meridione (Italia)_nan_-37098.0_194.4@ Malta_200000.0_-197398.0_1034.4@,,Sicilia (Italia)
20:10 20-04-2022,277,48,48,1680000,7740.0,0,0,0,0,0,0,72700,10920.0,41.8,0,0,0,1930000,670824.0,123.07,1490000,73920,55.73,152000,33768.0,13.16,580000,14784.0,78.17,,0,0,4460000,777168.0,6343.7,866000,75936.0,821.99,,22512.0,263.16, Meridione (Italia)_nan_-36960.0_170.28@ Malta_200000.0_-196896.0_907.13@,,Sicilia (Italia)
20:20 20-04-2022,277,48,48,1680000,7740.0,0,0,0,0,0,0,72700,10920.0,41.8,0,0,0,1930000,670824.0,123.07,1490000,73920,55.73,152000,33768.0,13.16,580000,14784.0,78.17,,0,0,4460000,777168.0,6343.7,866000,75936.0,821.99,,22512.0,263.16, Meridione (Italia)_nan_-36960.0_170.28@ Malta_200000.0_-196896.0_907.13@,,Sicilia (Italia)
20:30 20-04-2022,277,48,48,1680000,7740.0,0,0,0,0,0,0,72700,10920.0,41.8,0,0,0,1930000,670824.0,123.07,1490000,73920,55.73,152000,33768.0,13.16,580000,14784.0,78.17,,0,0,4460000,777168.0,6343.7,866000,75936.0,821.99,,22512.0,263.16, Meridione (Italia)_nan_-36960.0_170.28@ Malta_200000.0_-196896.0_907.13@,,Sicilia (Italia)
20:40 20-04-2022,277,48,48,1680000,7740.0,0,0,0,0,0,0,72700,10920.0,41.8,0,0,0,1930000,670824.0,123.07,1490000,73920,55.73,152000,33768.0,13.16,580000,14784.0,78.17,,0,0,4460000,777168.0,6343.7,866000,75936.0,821.99,,22512.0,263.16, Meridione (Italia)_nan_-36960.0_170.28@ Malta_200000.0_-196896.0_907.13@,,Sicilia (Italia)
20:50 20-04-2022,323,47,47,2330000,12600.0,0,0,0,0,0,0,72700,17941.0,69.3,0,0,0,1930000,666147.0,122.22,1490000,74793,56.7,152000,3961.0,1.26,580000,326666.0,1726.2,,0,0,4460000,1075528.0,8812.44,866000,140732.0,1530.9,,23999.0,280.98, Meridione (Italia)_nan_-251640.0_1360.8@ Malta_200000.0_-220651.0_1193.22@,,Sicilia (Italia)
21:00 20-04-2022,323,47,47,2330000,12600.0,0,0,0,0,0,0,72700,17941.0,69.3,0,0,0,1930000,666147.0,122.22,1490000,74793,56.7,152000,3961.0,1.26,580000,326666.0,1726.2,,0,0,4460000,1075528.0,8812.44,866000,140732.0,1530.9,,23999.0,280.98, Meridione (Italia)_nan_-251640.0_1360.8@ Malta_200000.0_-220651.0_1193.22@,,Sicilia (Italia)
